individual_appno,ecli,itemid
38917/97,ECLI:CE:ECHR:2001:1009DEC003891797,001-43063
38590/97,ECLI:CE:ECHR:2001:1009DEC003859097,001-43083
36196/97,ECLI:CE:ECHR:2001:1009DEC003619697,001-43066
32359/96,ECLI:CE:ECHR:2001:1009DEC003235996,001-43077
38589/97,ECLI:CE:ECHR:2001:1009DEC003858997,001-43070
36198/97,ECLI:CE:ECHR:2001:1009DEC003619897,001-43067
38603/97,ECLI:CE:ECHR:2001:1009DEC003860397,001-43079
36200/97,ECLI:CE:ECHR:2001:1009DEC003620097,001-43068
35069/97,ECLI:CE:ECHR:2001:1009DEC003506997,001-43074
32443/96,ECLI:CE:ECHR:2001:1009DEC003244396,001-43076
28490/95,ECLI:CE:ECHR:2001:1009DEC002849095,001-43053
31990/96,ECLI:CE:ECHR:2001:1009DEC003199096,001-43069
36594/97,ECLI:CE:ECHR:2001:1009DEC003659497,001-43072
28504/95,ECLI:CE:ECHR:2001:1009DEC002850495,001-43108
36595/97,ECLI:CE:ECHR:2001:1009DEC003659597,001-43071
38601/97,ECLI:CE:ECHR:2001:1009DEC003860197,001-43080
49167/99,ECLI:CE:ECHR:2001:1009DEC004916799,001-21959
62129/00,ECLI:CE:ECHR:2001:1009DEC004916799,001-21959
38592/97,ECLI:CE:ECHR:2001:1009DEC003859297,001-43081
34994/97,ECLI:CE:ECHR:2001:1009DEC003499497,001-21978
44968/98,ECLI:CE:ECHR:2001:1004DEC004496898,001-21969
38011/97,ECLI:CE:ECHR:2001:1004DEC003801197,001-21964
35550/97,ECLI:CE:ECHR:2001:1004DEC003555097,001-43035
36112/97,ECLI:CE:ECHR:2001:1004DEC003611297,001-43033
35428/97,ECLI:CE:ECHR:2001:1004DEC003542897,001-43032
41624/98,ECLI:CE:ECHR:2001:1004DEC004162498,001-21994
45006/98,ECLI:CE:ECHR:2001:1004DEC004500698,001-21970
35777/97,ECLI:CE:ECHR:2001:1004DEC003577797,001-43037
37888/97,ECLI:CE:ECHR:2001:1004DEC003788897,001-21963
34412/97,ECLI:CE:ECHR:2001:1004DEC003441297,001-21989
38043/97,ECLI:CE:ECHR:2001:1004DEC003804397,001-21965
36268/97,ECLI:CE:ECHR:2001:1004DEC003626897,001-21960
34669/97,ECLI:CE:ECHR:2001:1004DEC003466997,001-21982
37117/97,ECLI:CE:ECHR:2001:1004DEC003711797,001-43044
34435/97,ECLI:CE:ECHR:2001:1004DEC003443597,001-21990
34658/97,ECLI:CE:ECHR:2001:1004DEC003465897,001-21981
39735/98,ECLI:CE:ECHR:2001:1004DEC003973598,001-21992
35001/97,ECLI:CE:ECHR:2001:1004DEC003500197,001-21987
42609/98,ECLI:CE:ECHR:2001:1004DEC004260998,001-21967
43580/98,ECLI:CE:ECHR:2001:1004DEC004358098,001-21968
35969/97,ECLI:CE:ECHR:2001:1004DEC003596997,001-43040
39797/98,ECLI:CE:ECHR:2001:1004DEC003979798,001-21993
34442/97,ECLI:CE:ECHR:2001:1004DEC003444297,001-21991
36149/97,ECLI:CE:ECHR:2001:1004DEC003614997,001-43042
35243/97,ECLI:CE:ECHR:2001:1004DEC003524397,001-43031
42343/98,ECLI:CE:ECHR:2001:1004DEC004234398,001-21966
35088/97,ECLI:CE:ECHR:2001:1004DEC003508897,001-21988
35024/97,ECLI:CE:ECHR:2001:1004DEC003502497,001-43043
42444/98,ECLI:CE:ECHR:2001:1004DEC004244498,001-21984
34998/97,ECLI:CE:ECHR:2001:1004DEC003499897,001-43030
37008/97,ECLI:CE:ECHR:2001:1004DEC003700897,001-21961
46372/99,ECLI:CE:ECHR:2001:1004DEC004637299,001-21958
37007/97,ECLI:CE:ECHR:2001:1004DEC003700797,001-21996
36249/97,ECLI:CE:ECHR:2001:1004DEC003624997,001-21995
40037/98,ECLI:CE:ECHR:2001:1004DEC004003798,001-21983
38415/97,ECLI:CE:ECHR:2001:1004DEC003841597,001-43034
34714/97,ECLI:CE:ECHR:2001:1004DEC003471497,001-21986
47636/99,ECLI:CE:ECHR:2001:1004DEC004763699,001-43009
35637/97,ECLI:CE:ECHR:2001:1004DEC003563797,001-43036
44864/98,ECLI:CE:ECHR:2001:1004DEC004486498,001-21985
36010/97,ECLI:CE:ECHR:2001:1004DEC003601097,001-43041
37248/97,ECLI:CE:ECHR:2001:1004DEC003724897,001-21962
36734/97,ECLI:CE:ECHR:2001:1004DEC003673497,001-43039
36377/97,ECLI:CE:ECHR:2001:1004DEC003637797,001-43038
37437/97,ECLI:CE:ECHR:2001:1003DEC003743797,001-22007
42320/98,ECLI:CE:ECHR:2001:1002DEC004232098,001-21980
45259/99,ECLI:CE:ECHR:2001:1002DEC004525999,001-43007
46108/99,ECLI:CE:ECHR:2001:1002DEC004610899,001-43010
37585/97,ECLI:CE:ECHR:2001:1002DEC003758597,001-21957
48628/99,ECLI:CE:ECHR:2001:0927DEC004862899,001-21952
50237/99,ECLI:CE:ECHR:2001:0927DEC005023799,001-21956
65518/01,ECLI:CE:ECHR:2001:0927DEC006551801,001-43004
39812/98,ECLI:CE:ECHR:2001:0925DEC003981298,001-42980
49771/99,ECLI:CE:ECHR:2001:0925DEC004977199,001-21950
45035/98,ECLI:CE:ECHR:2001:0925DEC004503598,001-21919
37261/97,ECLI:CE:ECHR:2001:0925DEC003726197,001-21932
34941/97,ECLI:CE:ECHR:2001:0925DEC003494197,001-21954
49615/99,ECLI:CE:ECHR:2001:0925DEC004961599,001-43062
50776/99,ECLI:CE:ECHR:2001:0920DEC005077699,001-21935
52912/99,ECLI:CE:ECHR:2001:0920DEC005077699,001-21935
50824/99,ECLI:CE:ECHR:2001:0920DEC005082499,001-43000
59142/00,ECLI:CE:ECHR:2001:0920DEC005914200,001-42999
49279/99,ECLI:CE:ECHR:2001:0920DEC004927999,001-42995
43659/98,ECLI:CE:ECHR:2001:0920DEC004365998,001-21938
49018/99,ECLI:CE:ECHR:2001:0920DEC004901899,001-42996
61351/00,ECLI:CE:ECHR:2001:0920DEC006135100,001-21934
42645/98,ECLI:CE:ECHR:2001:0920DEC004264598,001-21939
40324/98,ECLI:CE:ECHR:2001:0920DEC004032498,001-21924
53610/99,ECLI:CE:ECHR:2001:0920DEC005361099,001-42993
46825/99,ECLI:CE:ECHR:2001:0918DEC004682599,001-42989
47502/99,ECLI:CE:ECHR:2001:0918DEC004750299,001-42986
49392/99,ECLI:CE:ECHR:2001:0918DEC004939299,001-42983
49716/99,ECLI:CE:ECHR:2001:0918DEC004971699,001-42984
37675/97,ECLI:CE:ECHR:2001:0918DEC003767597,001-42978
53613/99,ECLI:CE:ECHR:2001:0918DEC005361399,001-42981
62242/00,ECLI:CE:ECHR:2001:0918DEC006224200,001-21942
49195/99,ECLI:CE:ECHR:2001:0918DEC004919599,001-42985
49104/99,ECLI:CE:ECHR:2001:0918DEC004910499,001-42982
49010/99,ECLI:CE:ECHR:2001:0918DEC004901099,001-42988
49843/99,ECLI:CE:ECHR:2001:0918DEC004984399,001-42979
32576/96,ECLI:CE:ECHR:2001:0918DEC003257696,001-42991
35797/97,ECLI:CE:ECHR:2001:0913DEC003579797,001-42973
50495/99,ECLI:CE:ECHR:2001:0913DEC005049599,001-21943
48991/99,ECLI:CE:ECHR:2001:0913DEC004899199,001-42957
49881/99,ECLI:CE:ECHR:2001:0913DEC004988199,001-42969
34999/97,ECLI:CE:ECHR:2001:0913DEC003499997,001-21918
41427/98,ECLI:CE:ECHR:2001:0913DEC004142798,001-6034
35437/97,ECLI:CE:ECHR:2001:0913DEC003543797,001-21914
43689/98,ECLI:CE:ECHR:2001:0913DEC004368998,001-42976
36455/97,ECLI:CE:ECHR:2001:0913DEC003645597,001-42975
35795/97,ECLI:CE:ECHR:2001:0913DEC003579597,001-42972
47804/99,ECLI:CE:ECHR:2001:0913DEC004780499,001-21910
38794/97,ECLI:CE:ECHR:2001:0913DEC003879497,001-22111
32106/96,ECLI:CE:ECHR:2001:0913DEC003210696,001-21915
41666/98,ECLI:CE:ECHR:2001:0913DEC004166698,001-21911
41610/98,ECLI:CE:ECHR:2001:0913DEC004161098,001-6035
59597/00,ECLI:CE:ECHR:2001:0913DEC005959700,001-42970
40537/98,ECLI:CE:ECHR:2001:0913DEC004053798,001-6032
46787/99,ECLI:CE:ECHR:2001:0913DEC004678799,001-42974
38607/97,ECLI:CE:ECHR:2001:0913DEC003860797,001-42994
41232/98,ECLI:CE:ECHR:2001:0913DEC004123298,001-6033
45943/99,ECLI:CE:ECHR:2001:0913DEC004594399,001-6021
39716/98,ECLI:CE:ECHR:2001:0913DEC003971698,001-6031
29347/95,ECLI:CE:ECHR:2001:0913DEC002934795,001-21917
48526/99,ECLI:CE:ECHR:2001:0913DEC004852699,001-42956
60408/00,ECLI:CE:ECHR:2001:0913DEC006040800,001-21940
43686/98,ECLI:CE:ECHR:2001:0911DEC004368698,001-42968
46734/99,ECLI:CE:ECHR:2001:0911DEC004673499,001-42954
29970/96,ECLI:CE:ECHR:2001:0911DEC002997096,001-42963
31807/96,ECLI:CE:ECHR:2001:0911DEC003180796,001-42966
39197/98,ECLI:CE:ECHR:2001:0911DEC003919798,001-6030
58466/00,ECLI:CE:ECHR:2001:0911DEC005846600,001-42948
32266/96,ECLI:CE:ECHR:2001:0911DEC003226696,001-42962
47575/99,ECLI:CE:ECHR:2001:0911DEC004757599,001-42992
46952/99,ECLI:CE:ECHR:2001:0911DEC004695299,001-42949
35478/97,ECLI:CE:ECHR:2001:0911DEC003547897,001-42960
39077/97,ECLI:CE:ECHR:2001:0911DEC003907797,001-21913
37323/97,ECLI:CE:ECHR:2001:0911DEC003732397,001-21912
31876/96,ECLI:CE:ECHR:2001:0911DEC003187696,001-42959
32358/96,ECLI:CE:ECHR:2001:0911DEC003235896,001-42958
58004/00,ECLI:CE:ECHR:2001:0906DEC005800400,001-32569
26337/95,ECLI:CE:ECHR:2001:0906DEC002633795,001-32575
57313/00,ECLI:CE:ECHR:2001:0906DEC005731300,001-32566
36741/97,ECLI:CE:ECHR:2001:0906DEC003674197,001-6028
45126/98,ECLI:CE:ECHR:2001:0906DEC004512698,001-6013
39214/98,ECLI:CE:ECHR:2001:0906DEC003921498,001-43045
58496/00,ECLI:CE:ECHR:2001:0906DEC005849600,001-32568
50529/99,ECLI:CE:ECHR:2001:0906DEC005052999,001-6015
51279/99,ECLI:CE:ECHR:2001:0904DEC005127999,001-32570
37835/97,ECLI:CE:ECHR:2001:0904DEC003783597,001-6009
41444/98,ECLI:CE:ECHR:2001:0904DEC004144498,001-6006
31236/96,ECLI:CE:ECHR:2001:0904DEC003123696,001-32567
27528/95,ECLI:CE:ECHR:2001:0904DEC002752895,001-6010
33628/96,ECLI:CE:ECHR:2001:0904DEC003362896,001-42961
32923/96,ECLI:CE:ECHR:2001:0904DEC003292396,001-42964
41946/98,ECLI:CE:ECHR:2001:0904DEC004194698,001-32577
50586/99,ECLI:CE:ECHR:2001:0904DEC004194698,001-32577
34628/97,ECLI:CE:ECHR:2001:0904DEC003462897,001-126207
34628/97,ECLI:CE:ECHR:2001:0904DEC003462897,001-42965
35045/97,ECLI:CE:ECHR:2001:0904DEC003504597,001-6029
27310/95,ECLI:CE:ECHR:2001:0828DEC002731095,001-32562
46263/99,ECLI:CE:ECHR:2001:0828DEC004626399,001-32555
44652/98,ECLI:CE:ECHR:2001:0828DEC004465298,001-5989
51803/99,ECLI:CE:ECHR:2001:0828DEC005180399,001-32553
32196/96,ECLI:CE:ECHR:2001:0828DEC003219696,001-5998
48155/99,ECLI:CE:ECHR:2001:0828DEC004815599,001-32556
36678/97,ECLI:CE:ECHR:2001:0828DEC003667897,001-5993
33505/96,ECLI:CE:ECHR:2001:0828DEC003350596,001-5992
39389/98,ECLI:CE:ECHR:2001:0828DEC003938998,001-5994
36846/97,ECLI:CE:ECHR:2001:0828DEC003684697,001-5999
42072/98,ECLI:CE:ECHR:2001:0828DEC004207298,001-5988
37983/97,ECLI:CE:ECHR:2001:0828DEC003798397,001-5990
40694/98,ECLI:CE:ECHR:2001:0828DEC004069498,001-6000
45934/99,ECLI:CE:ECHR:2001:0828DEC004593499,001-5997
35420/97,ECLI:CE:ECHR:2001:0828DEC003542097,001-32563
42456/98,ECLI:CE:ECHR:2001:0828DEC004245698,001-5991
48361/99,ECLI:CE:ECHR:2001:0710DEC004836199,001-32524
48959/99,ECLI:CE:ECHR:2001:0710DEC004895999,001-32523
31041/96,ECLI:CE:ECHR:2001:0710DEC003104196,001-32521
57248/00,ECLI:CE:ECHR:2001:0710DEC005724800,001-5968
32920/96,ECLI:CE:ECHR:2001:0710DEC003292096,001-32515
31162/96,ECLI:CE:ECHR:2001:0710DEC003116296,001-32522
34746/97,ECLI:CE:ECHR:2001:0710DEC003474697,001-32513
46802/99,ECLI:CE:ECHR:2001:0710DEC004680299,001-32530
33349/96,ECLI:CE:ECHR:2001:0710DEC003334996,001-32516
50359/99,ECLI:CE:ECHR:2001:0710DEC005035999,001-5976
52315/99,ECLI:CE:ECHR:2001:0710DEC005231599,001-32525
32919/96,ECLI:CE:ECHR:2001:0710DEC003291996,001-32514
29969/96,ECLI:CE:ECHR:2001:0710DEC002996996,001-32518
44070/98,ECLI:CE:ECHR:2001:0705DEC004407098,001-32529
38830/97,ECLI:CE:ECHR:2001:0705DEC003883097,001-32531
60821/00,ECLI:CE:ECHR:2001:0705DEC006082100,001-32539
42423/98,ECLI:CE:ECHR:2001:0705DEC004242398,001-32540
64674/01,ECLI:CE:ECHR:2001:0705DEC006467401,001-5965
32574/96,ECLI:CE:ECHR:2001:0703DEC003257496,001-32535
37021/97,ECLI:CE:ECHR:2001:0703DEC003702197,001-32537
32097/96,ECLI:CE:ECHR:2001:0703DEC003209796,001-5961
44142/98,ECLI:CE:ECHR:2001:0703DEC004414298,001-32532
29770/96,ECLI:CE:ECHR:2001:0703DEC002977096,001-32520
57468/00,ECLI:CE:ECHR:2001:0703DEC005746800,001-5969
41658/98,ECLI:CE:ECHR:2001:0703DEC004165898,001-5962
38784/97,ECLI:CE:ECHR:2001:0703DEC003878497,001-5975
26518/95,ECLI:CE:ECHR:2001:0703DEC002651895,001-32534
43780/98,ECLI:CE:ECHR:2001:0703DEC004378098,001-32511
49920/99,ECLI:CE:ECHR:2001:0628DEC004992099,001-5952
58011/00,ECLI:CE:ECHR:2001:0628DEC005801100,001-32499
47402/99,ECLI:CE:ECHR:2001:0628DEC004740299,001-5950
32771/96,ECLI:CE:ECHR:2001:0626DEC003277196,001-5932
38719/97,ECLI:CE:ECHR:2001:0626DEC003871997,001-5955
27305/95,ECLI:CE:ECHR:2001:0626DEC002730595,001-5960
33221/96,ECLI:CE:ECHR:2001:0626DEC003322196,001-5957
47802/99,ECLI:CE:ECHR:2001:0621DEC004780299,001-5943
48752/99,ECLI:CE:ECHR:2001:0621DEC004875299,001-32496
45132/98,ECLI:CE:ECHR:2001:0621DEC004513298,001-5934
51473/99,ECLI:CE:ECHR:2001:0621DEC005147399,001-32565
43779/98,ECLI:CE:ECHR:2001:0621DEC004377998,001-5941
34592/97,ECLI:CE:ECHR:2001:0619DEC003459297,001-5930
54948/00,ECLI:CE:ECHR:2001:0619DEC005494800,001-5936
44808/98,ECLI:CE:ECHR:2001:0619DEC004480898,001-5940
44485/98,ECLI:CE:ECHR:2001:0619DEC004448598,001-32494
38549/97,ECLI:CE:ECHR:2001:0619DEC003854997,001-5945
27532/95,ECLI:CE:ECHR:2001:0619DEC002753295,001-32486
42431/98,ECLI:CE:ECHR:2001:0614DEC004243198,001-5926
41652/98,ECLI:CE:ECHR:2001:0614DEC004165298,001-5927
60225/00,ECLI:CE:ECHR:2001:0614DEC006022500,001-5918
46243/99,ECLI:CE:ECHR:2001:0614DEC004624399,001-5935
48485/99,ECLI:CE:ECHR:2001:0614DEC004848599,001-5920
35875/97,ECLI:CE:ECHR:2001:0614DEC003587597,001-5924
50615/99,ECLI:CE:ECHR:2001:0612DEC005061599,001-32466
53118/99,ECLI:CE:ECHR:2001:0612DEC005311899,001-32475
36515/97,ECLI:CE:ECHR:2001:0612DEC003651597,001-43117
49198/99,ECLI:CE:ECHR:2001:0612DEC004919899,001-32471
43425/98,ECLI:CE:ECHR:2001:0612DEC004342598,001-5921
26976/95,ECLI:CE:ECHR:2001:0612DEC002697695,001-32484
28305/95,ECLI:CE:ECHR:2001:0612DEC002697695,001-32484
28307/95,ECLI:CE:ECHR:2001:0612DEC002697695,001-32484
48233/99,ECLI:CE:ECHR:2001:0607DEC004823399,001-32470
43316/98,ECLI:CE:ECHR:2001:0607DEC004331698,001-5913
59640/00,ECLI:CE:ECHR:2001:0607DEC005964000,001-32478
45701/99,ECLI:CE:ECHR:2001:0607DEC004570199,001-32467
47498/99,ECLI:CE:ECHR:2001:0607DEC004749899,001-32473
55914/00,ECLI:CE:ECHR:2001:0607DEC005591400,001-32468
58071/00,ECLI:CE:ECHR:2001:0607DEC005591400,001-32468
55933/00,ECLI:CE:ECHR:2001:0607DEC005593300,001-32464
33499/96,ECLI:CE:ECHR:2001:0607DEC003349996,001-5916
33898/96,ECLI:CE:ECHR:2001:0607DEC003389896,001-5909
48187/99,ECLI:CE:ECHR:2001:0607DEC004818799,001-32463
43786/98,ECLI:CE:ECHR:2001:0607DEC004378698,001-5947
36366/97,ECLI:CE:ECHR:2001:0607DEC003636697,001-5912
52162/99,ECLI:CE:ECHR:2001:0607DEC005216299,001-32479
35865/97,ECLI:CE:ECHR:2001:0603DEC003586597,001-32517
45989/99,ECLI:CE:ECHR:2001:0531DEC004598999,001-32420
46283/99,ECLI:CE:ECHR:2001:0531DEC004628399,001-32426
44161/98,ECLI:CE:ECHR:2001:0531DEC004416198,001-5882
47891/99,ECLI:CE:ECHR:2001:0531DEC004789199,001-5880
49342/99,ECLI:CE:ECHR:2001:0529DEC004934299,001-32418
49352/99,ECLI:CE:ECHR:2001:0529DEC004935299,001-32422
49350/99,ECLI:CE:ECHR:2001:0529DEC004935099,001-32421
53892/00,ECLI:CE:ECHR:2001:0529DEC005389200,001-32424
55003/00,ECLI:CE:ECHR:2001:0529DEC005500300,001-32457
55013/00,ECLI:CE:ECHR:2001:0529DEC005501300,001-32419
42116/98,ECLI:CE:ECHR:2001:0529DEC004211698,001-5883
42406/98,ECLI:CE:ECHR:2001:0529DEC004240698,001-32425
48960/99,ECLI:CE:ECHR:2001:0528DEC004896099,001-32500
63357/00,ECLI:CE:ECHR:2001:0526DEC006335700,001-32503
55427/00,ECLI:CE:ECHR:2001:0526DEC005542700,001-32506
43877/98,ECLI:CE:ECHR:2001:0522DEC004387798,001-32458
57730/00,ECLI:CE:ECHR:2001:0522DEC005773000,001-32423
37242/97,ECLI:CE:ECHR:2001:0522DEC003724297,001-153138
34819/97,ECLI:CE:ECHR:2001:0522DEC003481997,001-32447
48939/99,ECLI:CE:ECHR:2001:0522DEC004893999,001-32460
40801/98,ECLI:CE:ECHR:2001:0522DEC004080198,001-5888
34990/97,ECLI:CE:ECHR:2001:0522DEC003499097,001-32461
36254/97,ECLI:CE:ECHR:2001:0522DEC003625497,001-5900
37511/97,ECLI:CE:ECHR:2001:0522DEC003751197,001-32445
52538/99,ECLI:CE:ECHR:2001:0522DEC005253899,001-32448
34454/97,ECLI:CE:ECHR:2001:0522DEC003445497,001-5901
56616/00,ECLI:CE:ECHR:2001:0522DEC005661600,001-32427
52748/99,ECLI:CE:ECHR:2001:0522DEC005274899,001-5889
47833/99,ECLI:CE:ECHR:2001:0522DEC004783399,001-32434
51045/99,ECLI:CE:ECHR:2001:0522DEC005104599,001-32444
37509/97,ECLI:CE:ECHR:2001:0522DEC003750997,001-5898
44730/98,ECLI:CE:ECHR:2001:0522DEC004473098,001-5886
38656/97,ECLI:CE:ECHR:2001:0522DEC003865697,001-5897
48989/99,ECLI:CE:ECHR:2001:0522DEC004898999,001-5876
45181/99,ECLI:CE:ECHR:2001:0522DEC004518199,001-32430
37295/97,ECLI:CE:ECHR:2001:0522DEC003729597,001-5896
35006/97,ECLI:CE:ECHR:2001:0522DEC003500697,001-32446
33382/96,ECLI:CE:ECHR:2001:0520DEC003338296,001-5747
55788/00,ECLI:CE:ECHR:2001:0517DEC005578800,001-32443
35076/97,ECLI:CE:ECHR:2001:0517DEC003507697,001-32449
32055/96,ECLI:CE:ECHR:2001:0517DEC003205596,001-5892
31733/96,ECLI:CE:ECHR:2001:0517DEC003173396,001-32428
48059/99,ECLI:CE:ECHR:2001:0517DEC004805999,001-32452
55016/00,ECLI:CE:ECHR:2001:0517DEC005501600,001-32454
32391/96,ECLI:CE:ECHR:2001:0517DEC003239196,001-5867
40061/98,ECLI:CE:ECHR:2001:0517DEC004006198,001-5891
51669/99,ECLI:CE:ECHR:2001:0517DEC005166999,001-5885
46209/99,ECLI:CE:ECHR:2001:0517DEC004620999,001-5903
62976/00,ECLI:CE:ECHR:2001:0517DEC006297600,001-32453
57969/00,ECLI:CE:ECHR:2001:0515DEC005796900,001-32390
29914/96,ECLI:CE:ECHR:2001:0515DEC002991496,001-32393
52691/99,ECLI:CE:ECHR:2001:0515DEC005269199,001-32438
40307/98,ECLI:CE:ECHR:2001:0515DEC004030798,001-32429
44199/98,ECLI:CE:ECHR:2001:0515DEC004419998,001-5875
58397/00,ECLI:CE:ECHR:2001:0515DEC005839700,001-32437
52536/99,ECLI:CE:ECHR:2001:0515DEC005253699,001-32441
33088/96,ECLI:CE:ECHR:2001:0510DEC003308896,001-5868
52236/99,ECLI:CE:ECHR:2001:0510DEC003308896,001-5868
52451/99,ECLI:CE:ECHR:2001:0510DEC003308896,001-5868
52452/99,ECLI:CE:ECHR:2001:0510DEC003308896,001-5868
52453/99,ECLI:CE:ECHR:2001:0510DEC003308896,001-5868
52455/99,ECLI:CE:ECHR:2001:0510DEC003308896,001-5868
52457/99,ECLI:CE:ECHR:2001:0510DEC003308896,001-5868
52458/99,ECLI:CE:ECHR:2001:0510DEC003308896,001-5868
52459/99,ECLI:CE:ECHR:2001:0510DEC003308896,001-5868
44798/98,ECLI:CE:ECHR:2001:0510DEC004479898,001-32394
45931/99,ECLI:CE:ECHR:2001:0510DEC004593199,001-32405
44797/98,ECLI:CE:ECHR:2001:0510DEC004479798,001-32396
50881/99,ECLI:CE:ECHR:2001:0510DEC005088199,001-32406
50516/99,ECLI:CE:ECHR:2001:0510DEC005051699,001-5864
37536/97,ECLI:CE:ECHR:2001:0510DEC003753697,001-5865
55173/00,ECLI:CE:ECHR:2001:0510DEC005517300,001-32412
47194/99,ECLI:CE:ECHR:2001:0510DEC004719499,001-32398
47584/99,ECLI:CE:ECHR:2001:0510DEC004758499,001-32404
46311/99,ECLI:CE:ECHR:2001:0510DEC004631199,001-5863
41357/98,ECLI:CE:ECHR:2001:0510DEC004135798,001-32392
27824/95,ECLI:CE:ECHR:2001:0510DEC002782495,001-5866
51541/99,ECLI:CE:ECHR:2001:0510DEC005154199,001-32397
24940/94,ECLI:CE:ECHR:2001:0503DEC002494094,001-32388
48679/99,ECLI:CE:ECHR:2001:0503DEC004867999,001-32410
30878/96,ECLI:CE:ECHR:2001:0503DEC003087896,001-32343
49215/99,ECLI:CE:ECHR:2001:0503DEC004921599,001-5874
53755/00,ECLI:CE:ECHR:2001:0503DEC005375500,001-32409
50131/99,ECLI:CE:ECHR:2001:0503DEC005013199,001-32322
49689/99,ECLI:CE:ECHR:2001:0503DEC004968999,001-32314
57217/00,ECLI:CE:ECHR:2001:0503DEC005721700,001-32336
50856/99,ECLI:CE:ECHR:2001:0503DEC005085699,001-32328
51083/99,ECLI:CE:ECHR:2001:0503DEC005108399,001-32309
43913/98,ECLI:CE:ECHR:2001:0503DEC004391398,001-32340
50855/99,ECLI:CE:ECHR:2001:0503DEC005085599,001-32327
49797/99,ECLI:CE:ECHR:2001:0503DEC004979799,001-32321
49522/99,ECLI:CE:ECHR:2001:0503DEC004952299,001-32313
38937/97,ECLI:CE:ECHR:2001:0503DEC003893797,001-5857
49795/99,ECLI:CE:ECHR:2001:0503DEC004979599,001-32319
52950/99,ECLI:CE:ECHR:2001:0503DEC005295099,001-32395
49498/99,ECLI:CE:ECHR:2001:0503DEC004949899,001-32312
52303/99,ECLI:CE:ECHR:2001:0503DEC005230399,001-32305
52304/99,ECLI:CE:ECHR:2001:0503DEC005230499,001-32316
52229/99,ECLI:CE:ECHR:2001:0503DEC005222999,001-32308
50624/99,ECLI:CE:ECHR:2001:0503DEC005062499,001-32325
36194/97,ECLI:CE:ECHR:2001:0503DEC002721596,001-32401
57735/00,ECLI:CE:ECHR:2001:0503DEC005773500,001-32304
24945/94,ECLI:CE:ECHR:2001:0503DEC002494594,001-32387
50566/99,ECLI:CE:ECHR:2001:0503DEC005056699,001-32324
50108/99,ECLI:CE:ECHR:2001:0503DEC005010899,001-32342
49546/99,ECLI:CE:ECHR:2001:0503DEC004954699,001-32315
50857/99,ECLI:CE:ECHR:2001:0503DEC005085799,001-32329
50858/99,ECLI:CE:ECHR:2001:0503DEC005085899,001-32338
50853/99,ECLI:CE:ECHR:2001:0503DEC005085399,001-32326
49332/99,ECLI:CE:ECHR:2001:0503DEC004933299,001-32310
49794/99,ECLI:CE:ECHR:2001:0503DEC004979499,001-32318
53597/99,ECLI:CE:ECHR:2001:0503DEC005359799,001-32334
40330/98,ECLI:CE:ECHR:2001:0503DEC004033098,001-5856
39668/98,ECLI:CE:ECHR:2001:0503DEC003966898,001-32400
37921/97,ECLI:CE:ECHR:2001:0503DEC003792197,001-32403
50943/99,ECLI:CE:ECHR:2001:0503DEC005094399,001-5855
50172/99,ECLI:CE:ECHR:2001:0503DEC005017299,001-32323
52231/99,ECLI:CE:ECHR:2001:0503DEC005223199,001-32306
38897/97,ECLI:CE:ECHR:2001:0503DEC003889797,001-5859
52230/99,ECLI:CE:ECHR:2001:0503DEC005223099,001-32307
49495/99,ECLI:CE:ECHR:2001:0503DEC004949599,001-32311
39032/97,ECLI:CE:ECHR:2001:0503DEC003903297,001-22864
39343/98,ECLI:CE:ECHR:2001:0503DEC003903297,001-22864
39651/98,ECLI:CE:ECHR:2001:0503DEC003903297,001-22864
43147/98,ECLI:CE:ECHR:2001:0503DEC003903297,001-22864
46664/99,ECLI:CE:ECHR:2001:0503DEC003903297,001-22864
61707/00,ECLI:CE:ECHR:2001:0503DEC003903297,001-22864
49497/99,ECLI:CE:ECHR:2001:0503DEC004949799,001-32317
36186/97,ECLI:CE:ECHR:2001:0503DEC003618697,001-5869
54711/00,ECLI:CE:ECHR:2001:0503DEC005471100,001-32341
54463/00,ECLI:CE:ECHR:2001:0503DEC005446300,001-32335
45771/99,ECLI:CE:ECHR:2001:0503DEC004577199,001-5851
50859/99,ECLI:CE:ECHR:2001:0503DEC005085999,001-32337
34684/97,ECLI:CE:ECHR:2001:0503DEC003468497,001-5861
55478/00,ECLI:CE:ECHR:2001:0503DEC005547800,001-32333
54282/00,ECLI:CE:ECHR:2001:0412DEC005428200,001-32362
54288/00,ECLI:CE:ECHR:2001:0412DEC005428800,001-32357
54297/00,ECLI:CE:ECHR:2001:0412DEC005429700,001-32349
54316/00,ECLI:CE:ECHR:2001:0412DEC005431600,001-32374
54291/00,ECLI:CE:ECHR:2001:0412DEC005429100,001-32355
54309/00,ECLI:CE:ECHR:2001:0412DEC005430900,001-32380
54313/00,ECLI:CE:ECHR:2001:0412DEC005431300,001-32377
54292/00,ECLI:CE:ECHR:2001:0412DEC005429200,001-32354
54293/00,ECLI:CE:ECHR:2001:0412DEC005429300,001-32353
54290/00,ECLI:CE:ECHR:2001:0412DEC005429000,001-32356
54310/00,ECLI:CE:ECHR:2001:0412DEC005429000,001-32356
42579/98,ECLI:CE:ECHR:2001:0412DEC004257998,001-32244
41740/98,ECLI:CE:ECHR:2001:0412DEC004174098,001-32301
