individual_appno,ecli,itemid
1718/62,ECLI:CE:ECHR:1965:0422DEC000171862,001-170086
1753/63,ECLI:CE:ECHR:1965:0215DEC000175363,001-170123
1936/63,ECLI:CE:ECHR:1968:0627JUD000193663,001-62102
2122/64,ECLI:CE:ECHR:1968:0627JUD000212264,001-62151
1936/63,ECLI:CE:ECHR:1968:0627JUD000193663,001-57544
2122/64,ECLI:CE:ECHR:1968:0627JUD000212264,001-57595
1936/63,ECLI:CE:ECHR:1968:0627JUD000193663,001-188026
1936/63,ECLI:CE:ECHR:1968:0627JUD000193663,001-165135
1936/63,ECLI:CE:ECHR:1968:0627JUD000193663,001-94436
1936/63,ECLI:CE:ECHR:1968:0627JUD000193663,001-104027
1936/63,ECLI:CE:ECHR:1968:0627JUD000193663,001-104028
1936/63,ECLI:CE:ECHR:1968:0627JUD000193663,001-94743
2122/64,ECLI:CE:ECHR:1968:0627JUD000212264,001-105888
2122/64,ECLI:CE:ECHR:1968:0627JUD000212264,001-188024
2122/64,ECLI:CE:ECHR:1968:0627JUD000212264,001-105889
2122/64,ECLI:CE:ECHR:1968:0627JUD000212264,001-105890
2122/64,ECLI:CE:ECHR:1968:0627JUD000212264,001-165134
2122/64,ECLI:CE:ECHR:1968:0627JUD000212264,001-220996
2550/65,ECLI:CE:ECHR:1968:0206DEC000255065,001-204753
3798/68,ECLI:CE:ECHR:1968:1217DEC000379868,001-3072
3479/68,ECLI:CE:ECHR:1968:1214DEC000347968,001-3057
3059/67,ECLI:CE:ECHR:1968:1004DEC000305967,001-3040
3435/67,ECLI:CE:ECHR:1968:0719DEC000343567,001-3053
3436/67,ECLI:CE:ECHR:1968:0719DEC000343567,001-3053
3437/67,ECLI:CE:ECHR:1968:0719DEC000343567,001-3053
3438/67,ECLI:CE:ECHR:1968:0719DEC000343567,001-3053
3075/67,ECLI:CE:ECHR:1968:0719DEC000307567,001-3042
2614/65,ECLI:CE:ECHR:1968:0718DEC000261465,001-3012
2804/66,ECLI:CE:ECHR:1968:0716DEC000280466,001-3026
3321/67,ECLI:CE:ECHR:1968:0531DEC000332167,001-112565
3322/67,ECLI:CE:ECHR:1968:0531DEC000332167,001-112565
3323/67,ECLI:CE:ECHR:1968:0531DEC000332167,001-112565
3344/67,ECLI:CE:ECHR:1968:0531DEC000332167,001-112565
3001/66,ECLI:CE:ECHR:1968:0530DEC000300166,001-3034
3134/67,ECLI:CE:ECHR:1968:0406DEC000313467,001-3044
3172/67,ECLI:CE:ECHR:1968:0406DEC000313467,001-3044
3188/67,ECLI:CE:ECHR:1968:0406DEC000313467,001-3044
3189/67,ECLI:CE:ECHR:1968:0406DEC000313467,001-3044
3190/67,ECLI:CE:ECHR:1968:0406DEC000313467,001-3044
3191/67,ECLI:CE:ECHR:1968:0406DEC000313467,001-3044
3192/67,ECLI:CE:ECHR:1968:0406DEC000313467,001-3044
3193/67,ECLI:CE:ECHR:1968:0406DEC000313467,001-3044
3194/67,ECLI:CE:ECHR:1968:0406DEC000313467,001-3044
3195/67,ECLI:CE:ECHR:1968:0406DEC000313467,001-3044
3196/67,ECLI:CE:ECHR:1968:0406DEC000313467,001-3044
3197/67,ECLI:CE:ECHR:1968:0406DEC000313467,001-3044
3198/67,ECLI:CE:ECHR:1968:0406DEC000313467,001-3044
3199/67,ECLI:CE:ECHR:1968:0406DEC000313467,001-3044
3200/67,ECLI:CE:ECHR:1968:0406DEC000313467,001-3044
3201/67,ECLI:CE:ECHR:1968:0406DEC000313467,001-3044
3202/67,ECLI:CE:ECHR:1968:0406DEC000313467,001-3044
3203/67,ECLI:CE:ECHR:1968:0406DEC000313467,001-3044
3204/67,ECLI:CE:ECHR:1968:0406DEC000313467,001-3044
3205/67,ECLI:CE:ECHR:1968:0406DEC000313467,001-3044
3206/67,ECLI:CE:ECHR:1968:0406DEC000313467,001-3044
2257/64,ECLI:CE:ECHR:1968:0405DEC000225764,001-2980
2699/65,ECLI:CE:ECHR:1968:0401DEC000269965,001-3018
3147/67,ECLI:CE:ECHR:1968:0207DEC000314767,001-3046
2568/65,ECLI:CE:ECHR:1968:0206DEC000256865,001-3010
3139/67,ECLI:CE:ECHR:1968:0206DEC000313967,001-3045
3321/67,ECLI:CE:ECHR:1968:0124DEC000332167,001-3049
3322/67,ECLI:CE:ECHR:1968:0124DEC000332167,001-3049
3323/67,ECLI:CE:ECHR:1968:0124DEC000332167,001-3049
3344/67,ECLI:CE:ECHR:1968:0124DEC000332167,001-3049
3011/67,ECLI:CE:ECHR:1967:1220DEC000301167,001-3035
3034/67,ECLI:CE:ECHR:1967:1219DEC000303467,001-3036
3325/67,ECLI:CE:ECHR:1967:1215DEC000332567,001-3050
2728/66,ECLI:CE:ECHR:1967:1006DEC000272866,001-3020
2428/65,ECLI:CE:ECHR:1967:1005DEC000242865,001-3000
2749/66,ECLI:CE:ECHR:1967:0711DEC000274966,001-3022
2457/65,ECLI:CE:ECHR:1967:0710DEC000245765,001-3002
2291/64,ECLI:CE:ECHR:1967:0601DEC000229164,001-2984
2499/65,ECLI:CE:ECHR:1967:0601DEC000249965,001-3004
2868/66,ECLI:CE:ECHR:1967:0531DEC000286866,001-3031
2793/66,ECLI:CE:ECHR:1967:0531DEC000279366,001-3025
2279/64,ECLI:CE:ECHR:1967:0531DEC000227964,001-2982
2278/64,ECLI:CE:ECHR:1967:0530DEC000227864,001-2981
2076/63,ECLI:CE:ECHR:1967:0530DEC000207663,001-2971
2694/65,ECLI:CE:ECHR:1967:0530DEC000269465,001-3017
2942/66,ECLI:CE:ECHR:1967:0408DEC000294266,001-3032
2432/65,ECLI:CE:ECHR:1967:0407DEC000243265,001-3001
2472/65,ECLI:CE:ECHR:1967:0407DEC000247265,001-3003
2366/64,ECLI:CE:ECHR:1967:0407DEC000236664,001-2991
2412/65,ECLI:CE:ECHR:1967:0407DEC000241265,001-2997
3040/67,ECLI:CE:ECHR:1967:0407DEC000304067,001-3038
2339/64,ECLI:CE:ECHR:1967:0406DEC000233964,001-2988
2364/64,ECLI:CE:ECHR:1967:0404DEC000236464,001-2990
2584/65,ECLI:CE:ECHR:1967:0404DEC000236464,001-2990
2662/65,ECLI:CE:ECHR:1967:0404DEC000236464,001-2990
2748/66,ECLI:CE:ECHR:1967:0404DEC000236464,001-2990
2676/65,ECLI:CE:ECHR:1967:0403DEC000267665,001-3015
2369/64,ECLI:CE:ECHR:1967:0403DEC000236964,001-2992
2113/64,ECLI:CE:ECHR:1967:0403DEC000211364,001-2973
2383/64,ECLI:CE:ECHR:1967:0403DEC000238364,001-2995
2370/64,ECLI:CE:ECHR:1967:0211DEC000237064,001-2993
2385/64,ECLI:CE:ECHR:1967:0210DEC000238564,001-2996
2724/66,ECLI:CE:ECHR:1967:0210DEC000272466,001-3019
2358/64,ECLI:CE:ECHR:1967:0207DEC000235864,001-2989
2375/64,ECLI:CE:ECHR:1967:0207DEC000237564,001-2994
2566/65,ECLI:CE:ECHR:1967:0206DEC000256665,001-3009
2290/64,ECLI:CE:ECHR:1967:0206DEC000229064,001-2983
2248/64,ECLI:CE:ECHR:1967:0206DEC000224864,001-2979
3151/67,ECLI:CE:ECHR:1968:1002DEC000315167,001-27920
2625/65,ECLI:CE:ECHR:1968:0930DEC000262565,001-27905
2465/65,ECLI:CE:ECHR:1968:0719DEC000246565,001-27907
3064/67,ECLI:CE:ECHR:1968:0207DEC000306467,001-27918
2552/65,ECLI:CE:ECHR:1967:1215DEC000255265,001-27901
2580/65,ECLI:CE:ECHR:1967:1215DEC000258065,001-27902
2322/64,ECLI:CE:ECHR:1967:0531DEC000232264,001-27899
2046/63,ECLI:CE:ECHR:1967:0408DEC000204663,001-27888
4231/69,ECLI:CE:ECHR:1967:0407DEC000423169,001-27914
2689/65,ECLI:CE:ECHR:1967:0406DEC000268965,001-27908
3019/67,ECLI:CE:ECHR:1968:0206DEC000301967,001-171039
3019/67,ECLI:CE:ECHR:1968:0206DEC000301967,001-171040
2689/65,ECLI:CE:ECHR:1970:0117JUD000268965,001-62025
2689/65,ECLI:CE:ECHR:1970:0117JUD000268965,001-57467
2178/64,ECLI:CE:ECHR:1969:1110JUD000217864,001-62095
2178/64,ECLI:CE:ECHR:1969:1110JUD000217864,001-57537
2689/65,ECLI:CE:ECHR:1970:0117JUD000268965,001-100645
2689/65,ECLI:CE:ECHR:1970:0117JUD000268965,001-94537
2689/65,ECLI:CE:ECHR:1970:0117JUD000268965,001-188066
2689/65,ECLI:CE:ECHR:1970:0117JUD000268965,001-165138
2178/64,ECLI:CE:ECHR:1969:1110JUD000217864,001-188065
2178/64,ECLI:CE:ECHR:1969:1110JUD000217864,001-165137
4279/69,ECLI:CE:ECHR:1970:1214DEC000427969,001-3111
4300/69,ECLI:CE:ECHR:1970:1214DEC000430069,001-3114
4430/70,ECLI:CE:ECHR:1970:1214DEC000443070,001-3122
4465/70,ECLI:CE:ECHR:1970:1005DEC000446570,001-3126
4260/69,ECLI:CE:ECHR:1970:0724DEC000426069,001-3109
3959/69,ECLI:CE:ECHR:1970:0721DEC000395969,001-3087
4119/69,ECLI:CE:ECHR:1970:0721DEC000411969,001-3097
3897/68,ECLI:CE:ECHR:1970:0717DEC000389768,001-3080
3444/67,ECLI:CE:ECHR:1970:0716DEC000344467,001-3054
4046/69,ECLI:CE:ECHR:1970:0714DEC000404669,001-3092
4078/69,ECLI:CE:ECHR:1970:0714DEC000407869,001-3096
4212/69,ECLI:CE:ECHR:1970:0713DEC000421269,001-3105
4280/69,ECLI:CE:ECHR:1970:0713DEC000428069,001-3112
4124/69,ECLI:CE:ECHR:1970:0713DEC000412469,001-3098
3542/68,ECLI:CE:ECHR:1970:0713DEC000354268,001-3060
4099/69,ECLI:CE:ECHR:1970:0713DEC000354268,001-3060
4445/70,ECLI:CE:ECHR:1970:0401DEC000444570,001-3123
3948/69,ECLI:CE:ECHR:1970:0206DEC000394869,001-3086
3897/68,ECLI:CE:ECHR:1970:0205DEC000389768,001-3081
3692/68,ECLI:CE:ECHR:1970:0205DEC000369268,001-3066
3973/69,ECLI:CE:ECHR:1970:0205DEC000397369,001-3089
4036/69,ECLI:CE:ECHR:1970:0205DEC000403669,001-3090
3651/68,ECLI:CE:ECHR:1970:0204DEC000365168,001-3064
3775/68,ECLI:CE:ECHR:1970:0202DEC000377568,001-3069
4042/69,ECLI:CE:ECHR:1970:0202DEC000404269,001-3091
3925/69,ECLI:CE:ECHR:1970:0102DEC000392569,001-3085
3637/68,ECLI:CE:ECHR:1969:1219DEC000363768,001-3063
3843/68,ECLI:CE:ECHR:1969:1219DEC000384368,001-3075
3873/68,ECLI:CE:ECHR:1969:1215DEC000387368,001-3078
3566/68,ECLI:CE:ECHR:1969:1215DEC000356668,001-3061
3771/68,ECLI:CE:ECHR:1969:1215DEC000377168,001-3068
3894/68,ECLI:CE:ECHR:1969:1215DEC000389468,001-3079
3852/68,ECLI:CE:ECHR:1969:1215DEC000385268,001-3076
3827/68,ECLI:CE:ECHR:1969:1215DEC000382768,001-3074
3505/68,ECLI:CE:ECHR:1969:1004DEC000350568,001-3059
2857/66,ECLI:CE:ECHR:1969:0522DEC000285766,001-3029
3860/68,ECLI:CE:ECHR:1969:0516DEC000386068,001-3077
3457/68,ECLI:CE:ECHR:1969:0205DEC000345768,001-3056
3245/67,ECLI:CE:ECHR:1969:0204DEC000324567,001-3047
3923/69,ECLI:CE:ECHR:1970:1214DEC000392369,001-27930
4256/69,ECLI:CE:ECHR:1970:1214DEC000425669,001-27937
3780/68,ECLI:CE:ECHR:1970:1214DEC000378068,001-27927
4459/70,ECLI:CE:ECHR:1970:0724DEC000445970,001-27942
4291/69,ECLI:CE:ECHR:1970:0713DEC000429169,001-27938
4072/69,ECLI:CE:ECHR:1970:0203DEC000407269,001-27935
3937/69,ECLI:CE:ECHR:1969:1212DEC000393769,001-27931
2645/65,ECLI:CE:ECHR:1969:1003DEC000264565,001-27906
3593/68,ECLI:CE:ECHR:1969:0516DEC000359368,001-27924
3374/67,ECLI:CE:ECHR:1969:0206DEC000337467,001-27922
4448/70,ECLI:CE:ECHR:1970:0716DEC000444870,001-142536
4448/70,ECLI:CE:ECHR:1970:0526DEC000444870,001-191352
2614/65,ECLI:CE:ECHR:1971:0716JUD000261465,001-62122
2614/65,ECLI:CE:ECHR:1971:0716JUD000261465,001-57565
2832/66,ECLI:CE:ECHR:1971:0618JUD000283266,001-62153
2835/66,ECLI:CE:ECHR:1971:0618JUD000283266,001-62153
2899/66,ECLI:CE:ECHR:1971:0618JUD000283266,001-62153
2832/66,ECLI:CE:ECHR:1971:0618JUD000283266,001-57606
2835/66,ECLI:CE:ECHR:1971:0618JUD000283266,001-57606
2899/66,ECLI:CE:ECHR:1971:0618JUD000283266,001-57606
2614/65,ECLI:CE:ECHR:1971:0716JUD000261465,001-94482
