normalising 10 O0 output(s)
  in:  results/jurix_compare/o0
  out: results/jurix_compare/norm/o0
  input.L1: 6 proceeding(s), 7.7s
  input.L10: 15 proceeding(s), 19.3s
  input.L2: 3 proceeding(s), 3.8s
  input.L3: 8 proceeding(s), 9.6s
  input.L4: 7 proceeding(s), 7.9s
  input.L5: 7 proceeding(s), 9.8s
  input.L6: 7 proceeding(s), 8.9s
  input.L7: 4 proceeding(s), 5.2s
  input.L8: 6 proceeding(s), 9.1s
  input.L9: 7 proceeding(s), 9.2s

O0: 70 proceeding(s) across 10 document(s) in 90.5s
